PIN,Date,Type,,,
912108328014,2015-06-26,Basement Flooding,,,end of Storm Event Data through 2010
912107276030,2015-06-26,Yard Flooding,\\Zota\PW$\Engineering\001- Drainage and Utilities\Drainage Complaints,,
922117184001,2015-06-26,Street Flooding,,,
932121103031,2015-12-28,Street Flooding,,,
932120476035,2015-12-28,Yard Flooding,,,
912107426015,2015-12-28,Yard Flooding,,,
932122402012,2015-12-28,Yard Flooding,,,
932117383010,2015-12-28,Basement Flooding,,,
932120281011,2015-12-28,Basement Flooding,,,
922117261010,2015-12-28,Basement Flooding,,,
912108153035,2015-12-28,Basement Flooding,,,
932117451011,2011-04-25,Yard Flooding,,,
932117451010,2011-04-25,Yard Flooding,,,
932120401019,2011-04-25,Yard Flooding,,,
912105477019,2011-04-25,Yard Flooding,,,
932120281005,2011-04-25,Yard Flooding,,,
912103101004,2013-04-18,Yard Flooding,,,
912108504003,2014-07-14,Street Flooding,,,
922116128024,2014-07-14,Street Flooding,,,
932121181006,2014-07-14,Street Flooding,,,
932121178005,2014-07-14,Street Flooding,,,
912107279022,2014-07-14,Street Flooding,,,
912115355028,2014-07-14,Street Flooding,,,
912108459007,2014-07-14,Street Flooding,,,
922116104027,2014-07-14,Street Flooding,,,
932121182005,2014-07-14,Street Flooding,,,
932120476008,2014-07-14,Street Flooding,,,
922117130016,2014-07-14,Street Flooding,,,
922117233003,2014-07-14,Street Flooding,,,
912108305003,2014-07-14,Street Flooding,,,
932122304010,2014-07-14,Street Flooding,,,
932120477004,2014-07-14,Street Flooding,,,
912107204001,2014-07-14,Street Flooding,,,
932121306011,2014-07-14,Yard Flooding,,,
932120451035,2014-07-14,Street Flooding,,,
932120432007,2014-07-14,Yard Flooding,,,
932117451007,2014-07-14,Street Flooding,,,
932121307002,2014-06-24,Basement Flooding,,,
932121356007,2014-06-24,Basement Flooding,,,
932121355004,2014-06-24,Basement Flooding,,,
922117157001,2011-05-30,Street Flooding,,,
912108504003,2010-11-23,Street Flooding,,,
922117102024,2010-11-23,Street Flooding,,,
922116382024,2010-11-23,Street Flooding,,,
922116380001,2010-11-23,Street Flooding,,,
932120226001,2010-11-23,Street Flooding,,,
932121201014,2010-11-23,Street Flooding,,,
932121181011,2010-11-23,Street Flooding,,,
932117357022,2010-11-23,Street Flooding,,,
922117135014,2010-11-23,Street Flooding,,,
922117234004,2010-11-23,Street Flooding,,,
922116477006,2010-06-15,Street Flooding,,,
922116327005,2010-06-15,Street Flooding,\\Zota\PW$\Engineering\001- Drainage and Utilities\Drainage Complaints\02 -Storm Event Data,,
